,date,day_name,app,cuenta
296,2015-10-24,6.Saturday,Twitter,0.0
297,2015-10-25,7.Sunday,Twitter,0.0
298,2015-10-26,1.Monday,Twitter,0.0
299,2015-10-27,2.Tuesday,Twitter,0.0
300,2015-10-28,3.Wednesday,Twitter,0.0
301,2015-10-29,4.Thursday,Twitter,0.0
302,2015-10-30,5.Friday,Twitter,0.0
303,2015-10-31,6.Saturday,Twitter,0.0
304,2015-11-01,7.Sunday,Twitter,0.0
305,2015-11-02,1.Monday,Twitter,0.0
306,2015-11-03,2.Tuesday,Twitter,0.0
307,2015-11-04,3.Wednesday,Twitter,0.0
308,2015-11-05,4.Thursday,Twitter,0.0
309,2015-11-06,5.Friday,Twitter,0.0
310,2015-11-07,6.Saturday,Twitter,0.0
311,2015-11-08,7.Sunday,Twitter,0.0
312,2015-11-09,1.Monday,Twitter,0.0
313,2015-11-10,2.Tuesday,Twitter,0.0
314,2015-11-11,3.Wednesday,Twitter,0.0
315,2015-11-12,4.Thursday,Twitter,0.0
316,2015-11-13,5.Friday,Twitter,0.0
317,2015-11-14,6.Saturday,Twitter,0.0
318,2015-11-15,7.Sunday,Twitter,0.0
319,2015-11-16,1.Monday,Twitter,0.0
320,2015-11-17,2.Tuesday,Twitter,0.0
321,2015-11-18,3.Wednesday,Twitter,0.0
322,2015-11-19,4.Thursday,Twitter,0.0
323,2015-11-20,5.Friday,Twitter,0.0
324,2015-11-21,6.Saturday,Twitter,0.0
325,2015-11-22,7.Sunday,Twitter,0.0
326,2015-11-23,1.Monday,Twitter,0.0
327,2015-11-24,2.Tuesday,Twitter,0.0
328,2015-11-25,3.Wednesday,Twitter,0.0
329,2015-11-26,4.Thursday,Twitter,0.0
330,2015-11-27,5.Friday,Twitter,0.0
331,2015-11-28,6.Saturday,Twitter,0.0
332,2015-11-29,7.Sunday,Twitter,0.0
333,2015-11-30,1.Monday,Twitter,0.0
334,2015-12-01,2.Tuesday,Twitter,0.0
335,2015-12-02,3.Wednesday,Twitter,0.0
336,2015-12-03,4.Thursday,Twitter,0.0
337,2015-12-04,5.Friday,Twitter,0.0
338,2015-12-05,6.Saturday,Twitter,0.0
339,2015-12-06,7.Sunday,Twitter,0.0
340,2015-12-07,1.Monday,Twitter,0.0
341,2015-12-08,2.Tuesday,Twitter,0.0
342,2015-12-09,3.Wednesday,Twitter,0.0
343,2015-12-10,4.Thursday,Twitter,0.0
344,2015-12-11,5.Friday,Twitter,0.0
345,2015-12-12,6.Saturday,Twitter,0.0
346,2015-12-13,7.Sunday,Twitter,0.0
347,2015-12-14,1.Monday,Twitter,0.0
348,2015-12-15,2.Tuesday,Twitter,0.0
349,2015-12-16,3.Wednesday,Twitter,0.0
350,2015-12-17,4.Thursday,Twitter,0.0
351,2015-12-18,5.Friday,Twitter,0.0
352,2015-12-19,6.Saturday,Twitter,0.0
353,2015-12-20,7.Sunday,Twitter,0.0
354,2015-12-21,1.Monday,Twitter,0.0
355,2015-12-22,2.Tuesday,Twitter,0.0
356,2015-12-23,3.Wednesday,Twitter,0.0
357,2015-12-24,4.Thursday,Twitter,0.0
358,2015-12-25,5.Friday,Twitter,0.0
359,2015-12-26,6.Saturday,Twitter,0.0
360,2015-12-27,7.Sunday,Twitter,0.0
361,2015-12-28,1.Monday,Twitter,0.0
362,2015-12-29,2.Tuesday,Twitter,0.0
363,2015-12-30,3.Wednesday,Twitter,0.0
364,2015-12-31,4.Thursday,Twitter,0.0
365,2016-01-01,5.Friday,Twitter,0.0
366,2016-01-02,6.Saturday,Twitter,0.0
367,2016-01-03,7.Sunday,Twitter,0.0
368,2016-01-04,1.Monday,Twitter,0.0
369,2016-01-05,2.Tuesday,Twitter,0.0
370,2016-01-06,3.Wednesday,Twitter,0.0
371,2016-01-07,4.Thursday,Twitter,0.0
372,2016-01-08,5.Friday,Twitter,0.0
373,2016-01-09,6.Saturday,Twitter,0.0
374,2016-01-10,7.Sunday,Twitter,0.0
375,2016-01-11,1.Monday,Twitter,0.0
376,2016-01-12,2.Tuesday,Twitter,0.0
377,2016-01-13,3.Wednesday,Twitter,0.0
378,2016-01-14,4.Thursday,Twitter,0.0
379,2016-01-15,5.Friday,Twitter,0.0
380,2016-01-16,6.Saturday,Twitter,0.0
381,2016-01-17,7.Sunday,Twitter,0.0
382,2016-01-18,1.Monday,Twitter,0.0
383,2016-01-19,2.Tuesday,Twitter,0.0
384,2016-01-20,3.Wednesday,Twitter,0.0
385,2016-01-21,4.Thursday,Twitter,0.0
386,2016-01-22,5.Friday,Twitter,0.0
387,2016-01-23,6.Saturday,Twitter,0.0
388,2016-01-24,7.Sunday,Twitter,0.0
389,2016-01-25,1.Monday,Twitter,0.0
390,2016-01-26,2.Tuesday,Twitter,0.0
391,2016-01-27,3.Wednesday,Twitter,0.0
392,2016-01-28,4.Thursday,Twitter,0.0
393,2016-01-29,5.Friday,Twitter,0.0
394,2016-01-30,6.Saturday,Twitter,0.0
395,2016-01-31,7.Sunday,Twitter,0.0
396,2016-02-01,1.Monday,Twitter,0.0
397,2016-02-02,2.Tuesday,Twitter,0.0
398,2016-02-03,3.Wednesday,Twitter,0.0
399,2016-02-04,4.Thursday,Twitter,0.0
400,2016-02-05,5.Friday,Twitter,0.0
401,2016-02-06,6.Saturday,Twitter,0.0
402,2016-02-07,7.Sunday,Twitter,0.0
403,2016-02-08,1.Monday,Twitter,0.0
404,2016-02-09,2.Tuesday,Twitter,0.0
405,2016-02-10,3.Wednesday,Twitter,0.0
406,2016-02-11,4.Thursday,Twitter,0.0
407,2016-02-12,5.Friday,Twitter,0.0
408,2016-02-13,6.Saturday,Twitter,0.0
409,2016-02-14,7.Sunday,Twitter,0.0
410,2016-02-15,1.Monday,Twitter,0.0
